,Target User,Compound Score,Positive Score,Negative Score,Neutral Score,Date & Time
0,BBC,-0.128,0.0,0.081,0.919,2018-10-01 19:00:01+00:00
1,BBC,0.0,0.0,0.0,1.0,2018-10-01 17:16:04+00:00
2,BBC,0.7506,0.252,0.0,0.748,2018-10-01 16:05:44+00:00
3,BBC,0.0,0.0,0.0,1.0,2018-10-01 15:48:02+00:00
4,BBC,0.0,0.0,0.0,1.0,2018-10-01 15:00:02+00:00
5,BBC,0.0,0.0,0.0,1.0,2018-10-01 14:01:07+00:00
6,BBC,0.0,0.0,0.0,1.0,2018-10-01 13:04:26+00:00
7,BBC,0.7456,0.311,0.0,0.689,2018-10-01 13:03:06+00:00
8,BBC,0.128,0.159,0.137,0.705,2018-10-01 12:33:03+00:00
9,BBC,-0.5574,0.0,0.167,0.833,2018-10-01 12:08:21+00:00
10,BBC,0.7003,0.345,0.0,0.655,2018-10-01 11:03:02+00:00
11,BBC,0.3818,0.274,0.134,0.591,2018-10-01 10:03:06+00:00
12,BBC,-0.7351,0.0,0.237,0.763,2018-10-01 09:46:54+00:00
13,BBC,0.0,0.0,0.0,1.0,2018-10-01 09:04:02+00:00
14,BBC,0.7845,0.266,0.0,0.734,2018-10-01 08:02:02+00:00
15,BBC,-0.875,0.0,0.5,0.5,2018-10-01 07:32:01+00:00
16,BBC,-0.872,0.0,0.398,0.602,2018-10-01 07:03:05+00:00
17,BBC,0.4753,0.157,0.0,0.843,2018-09-30 20:21:03+00:00
18,BBC,0.6239,0.313,0.0,0.687,2018-09-30 19:39:53+00:00
19,BBC,0.0,0.0,0.0,1.0,2018-09-30 19:03:02+00:00
20,BBC,0.0,0.0,0.0,1.0,2018-09-30 17:16:03+00:00
21,BBC,0.5106,0.167,0.063,0.769,2018-09-30 16:22:42+00:00
22,BBC,0.4574,0.125,0.0,0.875,2018-09-30 16:22:25+00:00
23,BBC,0.0,0.113,0.113,0.773,2018-09-30 16:01:09+00:00
24,BBC,0.0,0.0,0.0,1.0,2018-09-30 15:03:03+00:00
25,BBC,-0.296,0.0,0.099,0.901,2018-09-30 14:02:04+00:00
26,BBC,0.0,0.0,0.0,1.0,2018-09-30 13:06:04+00:00
27,BBC,0.0,0.0,0.0,1.0,2018-09-30 12:44:04+00:00
28,BBC,-0.4767,0.0,0.162,0.838,2018-09-30 12:31:04+00:00
29,BBC,0.1531,0.127,0.0,0.873,2018-09-30 11:02:01+00:00
30,BBC,-0.7579,0.048,0.251,0.701,2018-09-30 10:00:00+00:00
31,BBC,0.0,0.0,0.0,1.0,2018-09-30 09:04:02+00:00
32,BBC,-0.5994,0.0,0.302,0.698,2018-09-30 08:30:16+00:00
33,BBC,0.0,0.124,0.124,0.752,2018-09-30 07:31:05+00:00
34,BBC,0.5859,0.226,0.0,0.774,2018-09-30 07:04:02+00:00
35,BBC,0.4215,0.257,0.0,0.743,2018-09-29 20:32:03+00:00
36,BBC,0.4215,0.135,0.0,0.865,2018-09-29 17:02:12+00:00
37,BBC,-0.7003,0.0,0.293,0.707,2018-09-29 16:01:07+00:00
38,BBC,0.5499,0.129,0.0,0.871,2018-09-29 15:54:38+00:00
39,BBC,0.7088,0.329,0.0,0.671,2018-09-29 15:02:04+00:00
40,BBC,0.0,0.0,0.0,1.0,2018-09-29 14:03:07+00:00
41,BBC,-0.5256,0.0,0.253,0.747,2018-09-29 13:01:07+00:00
42,BBC,-0.186,0.156,0.227,0.616,2018-09-29 11:03:02+00:00
43,BBC,0.4939,0.181,0.0,0.819,2018-09-29 10:03:05+00:00
44,BBC,-0.5267,0.0,0.254,0.746,2018-09-29 09:01:02+00:00
45,BBC,0.6808,0.237,0.0,0.763,2018-09-29 08:11:46+00:00
46,BBC,-0.1022,0.118,0.136,0.746,2018-09-29 08:05:03+00:00
47,BBC,0.0,0.0,0.0,1.0,2018-09-29 07:03:06+00:00
48,BBC,0.0,0.0,0.0,1.0,2018-09-29 06:31:00+00:00
49,BBC,0.3595,0.135,0.0,0.865,2018-09-28 20:31:03+00:00
50,BBC,-0.126,0.065,0.089,0.846,2018-09-28 18:32:03+00:00
51,BBC,0.7003,0.345,0.0,0.655,2018-09-28 16:03:07+00:00
52,BBC,0.1531,0.118,0.0,0.882,2018-09-28 15:01:02+00:00
53,BBC,0.0,0.0,0.0,1.0,2018-09-28 14:03:07+00:00
54,BBC,-0.5346,0.177,0.345,0.478,2018-09-28 12:33:00+00:00
55,BBC,0.6597,0.227,0.082,0.691,2018-09-28 11:04:06+00:00
56,BBC,0.0,0.0,0.0,1.0,2018-09-28 10:24:29+00:00
57,BBC,-0.296,0.0,0.121,0.879,2018-09-28 10:02:06+00:00
58,BBC,0.5719,0.171,0.0,0.829,2018-09-28 09:40:18+00:00
59,BBC,-0.5994,0.0,0.262,0.738,2018-09-28 09:04:01+00:00
60,BBC,0.5859,0.167,0.0,0.833,2018-09-28 08:04:02+00:00
61,BBC,0.3818,0.133,0.0,0.867,2018-09-28 07:32:06+00:00
62,BBC,0.6808,0.272,0.0,0.728,2018-09-28 07:01:05+00:00
63,BBC,0.2263,0.155,0.089,0.756,2018-09-27 17:02:07+00:00
64,BBC,-0.128,0.0,0.067,0.933,2018-09-27 16:03:09+00:00
65,BBC,-0.5574,0.0,0.194,0.806,2018-09-27 15:31:07+00:00
66,BBC,0.5719,0.171,0.0,0.829,2018-09-27 15:06:35+00:00
67,BBC,-0.4201,0.0,0.117,0.883,2018-09-27 14:03:05+00:00
68,BBC,0.4939,0.122,0.0,0.878,2018-09-27 13:46:00+00:00
69,BBC,0.0,0.0,0.0,1.0,2018-09-27 13:10:27+00:00
70,BBC,-0.4019,0.225,0.299,0.476,2018-09-27 13:03:06+00:00
71,BBC,0.0,0.0,0.0,1.0,2018-09-27 12:32:06+00:00
72,BBC,-0.7579,0.0,0.351,0.649,2018-09-27 11:03:03+00:00
73,BBC,0.0,0.0,0.0,1.0,2018-09-27 10:44:32+00:00
74,BBC,-0.4753,0.0,0.154,0.846,2018-09-27 10:02:02+00:00
75,BBC,0.8697,0.38,0.0,0.62,2018-09-27 09:04:05+00:00
76,BBC,0.7964,0.265,0.056,0.678,2018-09-27 08:04:04+00:00
77,BBC,0.5411,0.162,0.0,0.838,2018-09-27 07:32:04+00:00
78,BBC,0.5551,0.339,0.0,0.661,2018-09-27 07:04:02+00:00
79,BBC,0.0,0.0,0.0,1.0,2018-09-26 20:03:06+00:00
80,BBC,0.0,0.0,0.0,1.0,2018-09-26 19:07:05+00:00
81,BBC,0.0,0.0,0.0,1.0,2018-09-26 16:02:05+00:00
